"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.01";"    0.38";"       5";"     137"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.01";"    0.21";"       4";"      77"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.01";"    0.23";"       5";"      86"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"    0.02";"    0.36";"       6";"     130"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"    0.01";"    0.26";"       4";"      93"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"    0.01";"    0.21";"       3";"      78"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"    0.01";"    0.19";"       3";"      68"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"    0.02";"    0.38";"       7";"     140"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"    0.01";"    0.34";"       5";"     124"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"    0.01";"    0.21";"       5";"      77"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"    0.01";"    0.22";"       5";"      79"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"    0.02";"    0.40";"       7";"     147"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"    0.02";"    0.46";"       6";"     168"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"    0.01";"    0.24";"       4";"      86"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"    0.01";"    0.21";"       4";"      77"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"    0.02";"    0.50";"       6";"     183"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"    0.02";"    0.34";"       6";"     124"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"    0.01";"    0.15";"       4";"      55"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"    0.02";"    0.35";"       6";"     129"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"    0.02";"    0.45";"       8";"     163"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";"    0.03";"    1.33";"      12";"     485"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";"    0.03";"    1.35";"      12";"     491"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";"    0.01";"    0.50";"       5";"     182"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";"    0.01";"    0.36";"       4";"     133"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2018";"    0.06";"    2.39";"      22";"     872"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2019";"    0.06";"    2.22";"      21";"     812"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2020";"    0.02";"    0.66";"       7";"     242"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2021";"    0.02";"    0.68";"       6";"     247"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2018";"    0.03";"    1.44";"      12";"     526"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2019";"    0.04";"    1.63";"      13";"     594"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2020";"    0.02";"    0.67";"       6";"     243"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2021";"    0.01";"    0.36";"       4";"     132"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2018";"    0.03";"    1.18";"      11";"     429"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2019";"    0.03";"    0.99";"       9";"     360"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2020";"    0.01";"    0.45";"       4";"     166"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2018";"    0.01";"    0.45";"       4";"     165"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2019";"    0.01";"    0.54";"       5";"     197"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"    0.02";"    0.32";"       8";"     117"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.02";"    0.31";"       8";"     115"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"    0.01";"    0.14";"       4";"      52"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"    0.01";"    0.13";"       3";"      47"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"    0.05";"    0.65";"      18";"     236"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"    0.05";"    0.57";"      17";"     209"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"    0.02";"    0.27";"       9";"      97"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"    0.02";"    0.22";"       7";"      81"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"    0.02";"    0.33";"       7";"     120"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"    0.02";"    0.31";"       6";"     115"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"    0.01";"    0.14";"       3";"      53"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"    0.01";"    0.10";"       3";"      38"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"    0.01";"    0.19";"       4";"      68"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"    0.01";"    0.23";"       5";"      83"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"    0.01";"    0.13";"       2";"      49"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.14";"    0.68";"      52";"     247"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.13";"    0.65";"      49";"     237"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.10";"    0.44";"      36";"     160"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.10";"    0.45";"      37";"     163"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.18";"    0.91";"      64";"     333"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.15";"    0.79";"      56";"     288"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.10";"    0.47";"      36";"     170"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.10";"    0.49";"      38";"     180"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.14";"    0.67";"      53";"     245"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.14";"    0.68";"      50";"     247"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.10";"    0.42";"      36";"     152"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.10";"    0.44";"      37";"     159"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2018";"    0.13";"    0.61";"      48";"     222"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.13";"    0.62";"      48";"     226"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.11";"    0.47";"      42";"     172"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.10";"    0.44";"      38";"     160"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.12";"    0.52";"      45";"     190"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.12";"    0.56";"      44";"     205"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.09";"    0.41";"      32";"     150"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.09";"    0.41";"      34";"     149"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2018";"    0.12";"    0.56";"      43";"     204"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2019";"    0.10";"    0.41";"      37";"     150"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2020";"    0.09";"    0.46";"      35";"     167"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2021";"    0.10";"    0.46";"      36";"     166"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";"    0.02";"    0.06";"       9";"      22"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";"    0.02";"    0.06";"       8";"      22"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";"    0.02";"    0.03";"       6";"      11"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";"    0.02";"    0.03";"       7";"      11"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2018";"    0.03";"    0.11";"      12";"      41"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2019";"    0.03";"    0.10";"      10";"      37"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2020";"    0.02";"    0.05";"       7";"      20"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2021";"    0.02";"    0.05";"       8";"      17"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2018";"    0.02";"    0.06";"       9";"      23"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2019";"    0.02";"    0.07";"       7";"      24"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2020";"    0.02";"    0.03";"       7";"      11"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2021";"    0.02";"    0.03";"       7";"      11"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2018";"    0.02";"    0.04";"       7";"      16"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2019";"    0.02";"    0.05";"       6";"      17"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2020";"    0.01";"    0.02";"       5";"       8"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2021";"    0.02";"    0.02";"       6";"       7"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2018";"    0.02";"    0.03";"       7";"      10"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2019";"    0.02";"    0.03";"       6";"      10"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2020";"    0.02";"    0.02";"       6";"       6"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2021";"    0.02";"    0.02";"       7";"       7"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";"    0.07";"    2.20";"      25";"     802"
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";"    0.11";"    3.27";"      39";"    1195"
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";"    0.07";"    1.85";"      26";"     677"
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";"    0.08";"    1.93";"      28";"     705"
"Professionally";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2018";"    0.06";"    1.75";"      23";"     640"
"Professionally";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2019";"    0.09";"    2.57";"      34";"     937"
"Professionally";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2020";"    0.05";"    1.25";"      18";"     456"
"Professionally";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2021";"    0.06";"    1.16";"      20";"     423"
"Professionally";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2018";"    0.07";"    2.27";"      25";"     830"
"Professionally";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2019";"    0.10";"    3.14";"      37";"    1147"
"Professionally";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2020";"    0.07";"    1.73";"      24";"     632"
"Professionally";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2021";"    0.07";"    1.96";"      27";"     715"
"Professionally";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2018";"    0.06";"    1.99";"      23";"     726"
"Professionally";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2019";"    0.11";"    3.34";"      38";"    1219"
"Professionally";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2020";"    0.07";"    2.07";"      26";"     759"
"Professionally";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2021";"    0.09";"    2.17";"      32";"     791"
"Professionally";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2018";"    0.08";"    2.59";"      28";"     947"
"Professionally";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2019";"    0.12";"    3.90";"      45";"    1423"
"Professionally";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2020";"    0.09";"    2.16";"      34";"     792"
"Professionally";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2021";"    0.09";"    2.32";"      32";"     848"
"Professionally";"Population 6 years or older";"Total";"Value";"Not urbanised";"2018";"    0.08";"    2.57";"      29";"     937"
"Professionally";"Population 6 years or older";"Total";"Value";"Not urbanised";"2019";"    0.13";"    4.12";"      48";"    1504"
"Professionally";"Population 6 years or older";"Total";"Value";"Not urbanised";"2020";"    0.11";"    2.99";"      39";"    1096"
"Professionally";"Population 6 years or older";"Total";"Value";"Not urbanised";"2021";"    0.10";"    2.89";"      36";"    1053"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    0.04";"    1.40";"      14";"     510"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    0.06";"    2.15";"      21";"     786"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.04";"    1.17";"      14";"     429"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.04";"    1.18";"      15";"     430"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.03";"    1.05";"      11";"     382"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.04";"    1.41";"      14";"     516"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.02";"    0.77";"       9";"     280"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.03";"    0.66";"       9";"     240"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    0.04";"    1.61";"      15";"     587"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    0.06";"    2.24";"      21";"     817"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.03";"    1.13";"      13";"     415"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.04";"    1.20";"      15";"     439"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    0.04";"    1.16";"      13";"     423"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    0.06";"    2.27";"      23";"     829"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    0.04";"    1.15";"      14";"     421"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    0.05";"    1.52";"      19";"     555"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    0.04";"    1.61";"      15";"     587"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    0.07";"    2.50";"      27";"     913"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    0.05";"    1.39";"      19";"     508"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    0.05";"    1.29";"      17";"     472"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    0.05";"    1.56";"      17";"     570"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    0.08";"    2.91";"      28";"    1062"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    0.06";"    2.09";"      24";"     765"
"Professionally";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    0.05";"    1.87";"      17";"     681"
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.00";"    0.08";"       1";"      27"
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.00";"    0.16";"       1";"      57"
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.00";"    0.06";"       1";"      23"
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.00";"    0.09";"       1";"      33"
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";"    0.00";"    0.20";"       1";"      71"
"Professionally";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";"    0.00";"    0.21";"       1";"      76"
"Professionally";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";"    0.00";"    0.09";"       0";"      31"
"Professionally";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";"    0.00";"    0.07";"       0";"      26"
"Professionally";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2019";"    0.01";"    0.40";"       3";"     147"
"Professionally";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
