"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    0.24";"    5.97";"      88";"    2185"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    0.27";"    6.88";"     100";"    2513"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.02";"    0.44";"       7";"     161"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.02";"    0.40";"       6";"     147"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.01";"    0.22";"       4";"      82"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.01";"    0.25";"       5";"      92"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"    0.02";"    0.38";"       7";"     140"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"    0.01";"    0.27";"       4";"     100"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"    0.01";"    0.23";"       4";"      83"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"    0.01";"    0.20";"       4";"      72"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"    0.02";"    0.41";"       7";"     151"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"    0.02";"    0.37";"       5";"     133"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"    0.01";"    0.23";"       5";"      83"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"    0.02";"    0.23";"       6";"      84"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"    0.02";"    0.44";"       7";"     159"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"    0.02";"    0.50";"       7";"     181"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"    0.01";"    0.25";"       4";"      93"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"    0.01";"    0.23";"       4";"      83"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"    0.02";"    0.54";"       7";"     197"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"    0.02";"    0.37";"       6";"     133"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"    0.01";"    0.16";"       4";"      59"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"    0.02";"    0.38";"       6";"     138"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"    0.02";"    0.48";"       8";"     175"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2018";"    0.04";"    1.43";"      13";"     521"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2019";"    0.04";"    1.45";"      13";"     528"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2020";"    0.01";"    0.53";"       5";"     196"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2021";"    0.01";"    0.39";"       4";"     143"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2018";"    0.07";"    2.56";"      24";"     935"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2019";"    0.06";"    2.38";"      23";"     870"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2020";"    0.02";"    0.71";"       7";"     259"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2021";"    0.02";"    0.72";"       7";"     264"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2018";"    0.04";"    1.55";"      13";"     566"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2019";"    0.04";"    1.75";"      14";"     640"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2020";"    0.02";"    0.72";"       6";"     262"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2021";"    0.01";"    0.39";"       4";"     142"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2018";"    0.03";"    1.27";"      12";"     463"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2019";"    0.03";"    1.06";"      10";"     388"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2020";"    0.01";"    0.49";"       4";"     178"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2018";"    0.01";"    0.48";"       4";"     177"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2019";"    0.01";"    0.58";"       5";"     211"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"    0.02";"    0.34";"       8";"     125"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.02";"    0.34";"       8";"     123"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"    0.01";"    0.15";"       4";"      56"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"    0.01";"    0.14";"       4";"      51"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"    0.05";"    0.69";"      19";"     252"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"    0.05";"    0.61";"      19";"     224"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"    0.02";"    0.28";"       9";"     104"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"    0.02";"    0.24";"       7";"      86"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"    0.02";"    0.35";"       7";"     129"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"    0.02";"    0.34";"       7";"     123"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"    0.01";"    0.15";"       3";"      57"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"    0.01";"    0.11";"       3";"      40"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"    0.01";"    0.20";"       4";"      73"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"    0.01";"    0.24";"       5";"      89"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"    0.01";"    0.14";"       2";"      53"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.15";"    0.73";"      56";"     266"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.14";"    0.70";"      53";"     255"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.11";"    0.47";"      39";"     172"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.11";"    0.48";"      39";"     175"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.19";"    0.98";"      68";"     357"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.16";"    0.85";"      60";"     309"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.11";"    0.50";"      39";"     182"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.11";"    0.53";"      40";"     192"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.16";"    0.72";"      57";"     264"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.15";"    0.73";"      54";"     265"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.11";"    0.45";"      39";"     164"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.11";"    0.47";"      40";"     171"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2018";"    0.14";"    0.66";"      52";"     240"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.14";"    0.67";"      52";"     244"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.12";"    0.51";"      45";"     185"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.11";"    0.47";"      41";"     172"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.13";"    0.56";"      49";"     204"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.13";"    0.60";"      47";"     220"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.09";"    0.44";"      35";"     161"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.10";"    0.44";"      37";"     160"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2018";"    0.13";"    0.60";"      46";"     220"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2019";"    0.11";"    0.44";"      39";"     161"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2020";"    0.10";"    0.49";"      37";"     178"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2021";"    0.10";"    0.49";"      38";"     178"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2018";"    0.03";"    0.06";"       9";"      23"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2019";"    0.02";"    0.07";"       8";"      24"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2020";"    0.02";"    0.03";"       7";"      12"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2021";"    0.02";"    0.03";"       8";"      12"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2018";"    0.04";"    0.12";"      13";"      43"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2019";"    0.03";"    0.11";"      11";"      39"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2020";"    0.02";"    0.06";"       8";"      21"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2021";"    0.02";"    0.05";"       8";"      18"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2018";"    0.03";"    0.07";"      10";"      25"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2019";"    0.02";"    0.07";"       8";"      26"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2020";"    0.02";"    0.03";"       7";"      12"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2021";"    0.02";"    0.03";"       8";"      12"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2018";"    0.02";"    0.05";"       8";"      17"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2019";"    0.02";"    0.05";"       7";"      18"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2020";"    0.02";"    0.02";"       6";"       9"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2021";"    0.02";"    0.02";"       7";"       7"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2018";"    0.02";"    0.03";"       8";"      11"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2019";"    0.02";"    0.03";"       7";"      11"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2020";"    0.02";"    0.02";"       6";"       6"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2021";"    0.02";"    0.02";"       7";"       8"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2018";"    0.07";"    2.36";"      27";"     862"
"Professionally";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2019";"    0.12";"    3.52";"      42";"    1284"
"Professionally";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2020";"    0.08";"    1.99";"      28";"     727"
"Professionally";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2021";"    0.08";"    2.07";"      30";"     756"
"Professionally";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2018";"    0.07";"    1.88";"      25";"     686"
"Professionally";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2019";"    0.10";"    2.75";"      36";"    1004"
"Professionally";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2020";"    0.05";"    1.33";"      20";"     488"
"Professionally";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2021";"    0.06";"    1.24";"      22";"     452"
"Professionally";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2018";"    0.07";"    2.45";"      26";"     893"
"Professionally";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2019";"    0.11";"    3.38";"      40";"    1234"
"Professionally";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2020";"    0.07";"    1.86";"      26";"     679"
"Professionally";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2021";"    0.08";"    2.10";"      29";"     768"
"Professionally";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2018";"    0.07";"    2.15";"      25";"     784"
"Professionally";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2019";"    0.11";"    3.60";"      41";"    1314"
"Professionally";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2020";"    0.08";"    2.23";"      28";"     817"
"Professionally";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2021";"    0.09";"    2.33";"      34";"     852"
"Professionally";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2018";"    0.08";"    2.79";"      31";"    1018"
"Professionally";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2019";"    0.13";"    4.19";"      49";"    1528"
"Professionally";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2020";"    0.10";"    2.32";"      37";"     849"
"Professionally";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2021";"    0.09";"    2.49";"      35";"     909"
"Professionally";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2018";"    0.09";"    2.76";"      31";"    1007"
"Professionally";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2019";"    0.14";"    4.42";"      51";"    1613"
"Professionally";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2020";"    0.11";"    3.21";"      42";"    1174"
"Professionally";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2021";"    0.11";"    3.09";"      39";"    1127"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    0.04";"    1.50";"      15";"     549"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    0.06";"    2.31";"      23";"     844"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.04";"    1.26";"      15";"     461"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.04";"    1.26";"      16";"     462"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.03";"    1.12";"      11";"     409"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.04";"    1.51";"      15";"     553"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.03";"    0.82";"      10";"     300"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.03";"    0.70";"      10";"     257"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    0.04";"    1.73";"      16";"     633"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    0.06";"    2.41";"      23";"     880"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.04";"    1.22";"      14";"     446"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.04";"    1.29";"      16";"     472"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    0.04";"    1.25";"      14";"     457"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    0.07";"    2.45";"      25";"     893"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    0.04";"    1.24";"      15";"     453"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    0.06";"    1.64";"      21";"     597"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    0.04";"    1.73";"      16";"     631"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    0.08";"    2.69";"      28";"     980"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    0.06";"    1.49";"      20";"     545"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    0.05";"    1.39";"      18";"     506"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    0.05";"    1.68";"      18";"     612"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    0.08";"    3.12";"      30";"    1139"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    0.07";"    2.24";"      25";"     820"
"Professionally";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    0.05";"    2.00";"      18";"     729"
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.00";"    0.08";"       1";"      29"
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.00";"    0.17";"       2";"      62"
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.00";"    0.07";"       1";"      25"
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.00";"    0.10";"       1";"      36"
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2018";"    0.00";"    0.21";"       1";"      77"
"Professionally";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2019";"    0.00";"    0.22";"       1";"      82"
"Professionally";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2020";"    0.00";"    0.09";"       1";"      33"
"Professionally";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2021";"    0.00";"    0.08";"       0";"      28"
"Professionally";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2019";"    0.01";"    0.43";"       3";"     158"
